FID,LU05_DESC,LUCODE,SHAPE
GISDATA.LANDUSE2005_POLY.340429,Commercial,15,"MULTIPOLYGON (((-71.1420930941527 42.35814151259573, -71.14207254772674 42.35828984648253, -71.14200018752237 42.3584157757037, -71.14203460944461 42.35850435490381, -71.1425469318669 42.35860401301184, -71.14211924609936 42.35952220569904, -71.14230593324878 42.35956668443849, -71.1425110164269 42.359661790935355, -71.14256325588467 42.35964149429937, -71.14257717355979 42.359434753506015, -71.14272580165054 42.3592862017354, -71.1427097994658 42.35911072853421, -71.14283045998492 42.35900750827696, -71.14291368275283 42.35899933552524, -71.14303868814066 42.35906740351388, -71.14336061467044 42.3590856688587, -71.14342826498499 42.35905867737383, -71.14340701341683 42.358801997466976, -71.14348847766153 42.3583109961477, -71.1420930941527 42.35814151259573)))"
GISDATA.LANDUSE2005_POLY.340438,Commercial,15,"MULTIPOLYGON (((-71.13647630362793 42.35847749117381, -71.13653942847819 42.358285074338646, -71.13667041412187 42.358304664336416, -71.13663953447212 42.35843969891668, -71.13674887974415 42.35845459567561, -71.13670810495468 42.358504394980315, -71.13684068448876 42.35852194616571, -71.13685358997733 42.35839049644041, -71.13700578327196 42.35837332228889, -71.13731595957505 42.358462659525216, -71.13722169536511 42.35880146419035, -71.13724566281337 42.358855556989035, -71.13738540760133 42.358750064562095, -71.13797526384441 42.35762776004075, -71.13687116044824 42.35749985135093, -71.13722133827908 42.357551783113195, -71.13718302646639 42.3577553971709, -71.13679505358705 42.357695923975236, -71.13659429538353 42.35815830728977, -71.13625682977286 42.35811253219095, -71.1364098407825 42.35769723296118, -71.13638515002866 42.357756298344725, -71.13621703765894 42.35773388972146, -71.13631735205246 42.35745079667112, -71.13649280074405 42.35747206336923, -71.13649847048896 42.35745667287922, -71.13540568583782 42.35731743595352, -71.13534697701337 42.357955016694156, -71.13514519103467 42.35790265341796, -71.13519802814136 42.35796790637393, -71.13517333587004 42.35826381535879, -71.13525830532068 42.3582640848725, -71.1352919682051 42.35822243002469, -71.13570200386008 42.35807658943151, -71.13595220468619 42.35810007344314, -71.13621428108371 42.358164066868966, -71.13612939037063 42.35836813370268, -71.13616432430827 42.358373221011526, -71.1361434832944 42.35842894044535, -71.13647630362793 42.35847749117381)))"
GISDATA.LANDUSE2005_POLY.333700,High Density Residential,11,"MULTIPOLYGON (((-71.14212984266281 42.36036476249861, -71.14210113471827 42.36068469695511, -71.142307798582 42.36069642060691, -71.14231748252529 42.36038052144028, -71.1423620623024 42.360340569436204, -71.14259272279433 42.360354030027175, -71.14260002446896 42.36027603662606, -71.14273820685843 42.36026324435446, -71.14270446067727 42.36004952413211, -71.14278100250104 42.35998499171158, -71.14279336663226 42.3598234539554, -71.14272065092378 42.35975951302868, -71.14254525048811 42.35975443146111, -71.14241323202711 42.360009477266566, -71.14217990894848 42.359992040465464, -71.14212984266281 42.36036476249861)))"
GISDATA.LANDUSE2005_POLY.333701,High Density Residential,11,"MULTIPOLYGON (((-71.14150272599517 42.36079814725054, -71.14169405103794 42.36084373166317, -71.14193704052387 42.36100861416189, -71.14209554179158 42.36102784336756, -71.14212803963112 42.36092851691043, -71.14208347287442 42.36087402705958, -71.14207281592712 42.360693585578545, -71.14156360832968 42.3606559990844, -71.14150272599517 42.36079814725054)))"
GISDATA.LANDUSE2005_POLY.333702,High Density Residential,11,"MULTIPOLYGON (((-71.1413093954988 42.36061731979108, -71.14156859674532 42.36064435412592, -71.14164972703591 42.36046039040341, -71.14117901113669 42.3603333391527, -71.14124310523871 42.36023323462221, -71.14076654906683 42.36011370694908, -71.14054747744422 42.360536966325604, -71.1413093954988 42.36061731979108)))"
GISDATA.LANDUSE2005_POLY.332779,Commercial,15,"MULTIPOLYGON (((-71.14217990894848 42.359992040465464, -71.14190281206234 42.35996633911839, -71.14173539316585 42.36027665321482, -71.14212984266281 42.36036476249861, -71.14217990894848 42.359992040465464)))"
GISDATA.LANDUSE2005_POLY.332781,Industrial,16,"MULTIPOLYGON (((-71.14075873125084 42.35798430346311, -71.1404582464179 42.358548513954844, -71.14106971541878 42.35872877881664, -71.14122433909405 42.35842684064717, -71.141538323614 42.35851528527098, -71.14172914389444 42.35810436790901, -71.14075873125084 42.35798430346311)))"
GISDATA.LANDUSE2005_POLY.332788,Commercial,15,"MULTIPOLYGON (((-71.14195610324275 42.36175682279947, -71.14206585037337 42.36209882375937, -71.14219223792617 42.362074549195405, -71.14210376475972 42.36172712281547, -71.14195610324275 42.36175682279947)))"
GISDATA.LANDUSE2005_POLY.332789,High Density Residential,11,"MULTIPOLYGON (((-71.13960333572695 42.36151710421032, -71.1399127170245 42.36160080864328, -71.14010022610864 42.36126564740805, -71.13979544911321 42.36115748001201, -71.13960333572695 42.36151710421032)))"
GISDATA.LANDUSE2005_POLY.332790,Industrial,16,"MULTIPOLYGON (((-71.13924947993037 42.360824484202666, -71.13896626571736 42.36130739394611, -71.13899870681041 42.36134163462515, -71.13960333572695 42.36151710421032, -71.13979544911321 42.36115748001201, -71.13988484728254 42.36099013210288, -71.13924947993037 42.360824484202666)))"
GISDATA.LANDUSE2005_POLY.339193,Industrial,16,"MULTIPOLYGON (((-71.13710397828213 42.360277562649124, -71.1387404651139 42.360678840668, -71.13887458089364 42.36040096448941, -71.13902824634502 42.36027929245238, -71.13919679786012 42.36007303729832, -71.13927647321037 42.35979128784307, -71.13971609398098 42.359889649218495, -71.13987512850706 42.35967407859548, -71.14014794322873 42.35916776700891, -71.14007575068622 42.3591415534305, -71.14008952057729 42.35911667029302, -71.13969875590529 42.35899129723863, -71.1391850114677 42.35881811088922, -71.13934360694596 42.35844880573547, -71.13954597675297 42.35781375947531, -71.13797526384441 42.35762776004075, -71.13738540760133 42.358750064562095, -71.13724566281337 42.358855556989035, -71.13714860019424 42.358992155577106, -71.13682860872161 42.359610481473, -71.13676698448306 42.35977233842554, -71.13669316941086 42.35994315969483, -71.13668072036043 42.35999713755362, -71.13687833226011 42.3600173761925, -71.13694092095629 42.36007473837469, -71.13713003597184 42.360115056752456, -71.13710397828213 42.360277562649124)))"
GISDATA.LANDUSE2005_POLY.339195,Commercial,15,"MULTIPOLYGON (((-71.1409534465487 42.361017398188416, -71.1413299324153 42.36113845409155, -71.14140938187295 42.36095593027203, -71.14103079836768 42.36083781741111, -71.1409534465487 42.361017398188416)))"
GISDATA.LANDUSE2005_POLY.338719,Commercial,15,"MULTIPOLYGON (((-71.1413093954988 42.36061731979108, -71.1412240996851 42.36075472728766, -71.14147744117469 42.36084121374071, -71.14150272599517 42.36079814725054, -71.14156360832968 42.3606559990844, -71.14156859674532 42.36064435412592, -71.1413093954988 42.36061731979108)))"
GISDATA.LANDUSE2005_POLY.343737,High Density Residential,11,"MULTIPOLYGON (((-71.13971609398098 42.359889649218495, -71.13956508713643 42.36021387691454, -71.13959100500166 42.36025057638013, -71.14021816840918 42.360438901083164, -71.14039426785516 42.36013063206531, -71.140196566388 42.3600667686203, -71.14032769161288 42.35981136242638, -71.13987512850706 42.35967407859548, -71.13971609398098 42.359889649218495)))"
GISDATA.LANDUSE2005_POLY.343738,Commercial,15,"MULTIPOLYGON (((-71.13969875590529 42.35899129723863, -71.13974738731663 42.35889268815592, -71.14014422847804 42.359016729633254, -71.14018557467233 42.35894032024361, -71.14024544848299 42.35898297766559, -71.14035837123077 42.35874599192165, -71.14005210266197 42.35864303130232, -71.13992704440389 42.35856917914287, -71.1402735519068 42.35791976681504, -71.13954597675297 42.35781375947531, -71.13934360694596 42.35844880573547, -71.1391850114677 42.35881811088922, -71.13969875590529 42.35899129723863)))"
GISDATA.LANDUSE2005_POLY.343744,High Density Residential,11,"MULTIPOLYGON (((-71.14224341134297 42.36172475019508, -71.14230183306515 42.36178640432313, -71.14243684344112 42.361752729415734, -71.14247195822965 42.361620564985685, -71.14252421960751 42.3615775596294, -71.14274167820506 42.36155986048948, -71.14268849698806 42.36129959729343, -71.14265889929561 42.36127482579951, -71.14250205009068 42.36132700238315, -71.14240892656288 42.36132258867238, -71.14219563870114 42.36147289066201, -71.14224341134297 42.36172475019508)))"
GISDATA.LANDUSE2005_POLY.343745,Industrial,16,"MULTIPOLYGON (((-71.14149442304243 42.36167523306358, -71.14168146137227 42.362236532836626, -71.14172738619686 42.36224103688904, -71.14238367291698 42.36212808139911, -71.14224341134297 42.36172475019508, -71.14219563870114 42.36147289066201, -71.14176642448052 42.36143073379617, -71.14163919961294 42.36139344013153, -71.14155985006447 42.36154742624063, -71.14149442304243 42.36167523306358), (-71.14195610324275 42.36175682279947, -71.14210376475972 42.36172712281547, -71.14219223792617 42.362074549195405, -71.14206585037337 42.36209882375937, -71.14195610324275 42.36175682279947)))"
