FID,LU05_DESC,LUCODE,SHAPE
GISDATA.LANDUSE2005_POLY.343402,Multi-Family Residential,10,"MULTIPOLYGON (((-71.1399127170245 42.36160080864328, -71.13958481435354 42.362243283407196, -71.1396648981183 42.36260179406799, -71.13990718225129 42.36257310003707, -71.13986750110574 42.362218400034024, -71.14003722315476 42.362248674092385, -71.1400970242737 42.362328964169826, -71.1401016163001 42.36253769719244, -71.14031452679592 42.36250565585181, -71.14019595645792 42.362157340727215, -71.14024388378348 42.36214867235296, -71.14025409898086 42.3620176370917, -71.14037216166454 42.361926349115606, -71.14037898494905 42.36179699846988, -71.14042750934826 42.361777631988424, -71.14077197374726 42.361795870554396, -71.14093107585123 42.3618380668245, -71.14106613935127 42.361568402651386, -71.14081785295441 42.36154323877223, -71.14074453698903 42.36147320251104, -71.1406406578668 42.36126152144634, -71.14071707404004 42.36123021506781, -71.14085526940535 42.36124935643737, -71.14096288442306 42.36131240455689, -71.14118885835988 42.36133471123341, -71.14123539112497 42.36129033455567, -71.14163919961294 42.36139344013153, -71.14176642448052 42.36143073379617, -71.14219563870114 42.36147289066201, -71.14240892656288 42.36132258867238, -71.14250205009068 42.36132700238315, -71.14265889929561 42.36127482579951, -71.14268849698806 42.36129959729343, -71.14274167820506 42.36155986048948, -71.14252421960751 42.3615775596294, -71.14247195822965 42.361620564985685, -71.14243684344112 42.361752729415734, -71.14255227907448 42.36183997842197, -71.14258634559079 42.3620819478631, -71.14272393515573 42.36206498543633, -71.14286908232178 42.3620343214569, -71.14276424656704 42.361646468765365, -71.14306437885642 42.36160602617535, -71.14337534963217 42.361508152968376, -71.14342062597795 42.361664234555576, -71.14361683021872 42.36164624729264, -71.14374038222998 42.36158092901776, -71.14381660767373 42.361428494642816, -71.14383014108077 42.361283954251434, -71.14380634646882 42.36075238867911, -71.14427376368288 42.360779329649304, -71.14430363965 42.360286638820945, -71.14587913133992 42.36036999028869, -71.1459047553301 42.36004239209986, -71.1455713272513 42.360023315204465, -71.14535339081904 42.36006497571979, -71.14475231039565 42.36003870486913, -71.14478304882579 42.359763522038804, -71.14435294461772 42.35974540606876, -71.14433213613223 42.35997704025215, -71.14430068239555 42.36028645321876, -71.14396857541097 42.36026759633621, -71.14389642756346 42.36023100051019, -71.14369443178902 42.36021206127193, -71.14378380625958 42.35918089557219, -71.14391118180157 42.359161956379836, -71.1440053620653 42.359179295766204, -71.14397984131105 42.35961498500382, -71.1440356211522 42.35966998329008, -71.14436105336891 42.35968863569262, -71.14436876708182 42.35949829673801, -71.14441283488645 42.358998617492354, -71.144702969281 42.35901783681369, -71.14483194166081 42.3589422555242, -71.14495545484384 42.358933300027445, -71.1450021350699 42.35889776668314, -71.14540346112109 42.358943798523576, -71.14548397532258 42.3585788690216, -71.14464996364204 42.3584609738009, -71.14461846139395 42.35869494640955, -71.14445487729233 42.35868100132603, -71.14439640762227 42.35866796446133, -71.14418538212968 42.358620910109, -71.14409054147596 42.358647300231986, -71.14403383705834 42.358714698428145, -71.14400308205782 42.358925037058604, -71.14376895234268 42.35897064351839, -71.14349547013506 42.3589456729149, -71.14342826498499 42.35905867737383, -71.14336061467044 42.3590856688587, -71.14303868814066 42.35906740351388, -71.14291368275283 42.35899933552524, -71.14283045998492 42.35900750827696, -71.1427097994658 42.35911072853421, -71.14272580165054 42.3592862017354, -71.14257717355979 42.359434753506015, -71.14256325588467 42.35964149429937, -71.1425110164269 42.359661790935355, -71.14230593324878 42.35956668443849, -71.14211924609936 42.35952220569904, -71.1425469318669 42.35860401301184, -71.14203460944461 42.35850435490381, -71.14200018752237 42.3584157757037, -71.14207254772674 42.35828984648253, -71.1420930941527 42.35814151259573, -71.14172914389444 42.35810436790901, -71.141538323614 42.35851528527098, -71.14122433909405 42.35842684064717, -71.14106971541878 42.35872877881664, -71.1404582464179 42.358548513954844, -71.14075873125084 42.35798430346311, -71.1402735519068 42.35791976681504, -71.13992704440389 42.35856917914287, -71.14005210266197 42.35864303130232, -71.14035837123077 42.35874599192165, -71.14024544848299 42.35898297766559, -71.14018557467233 42.35894032024361, -71.14014422847804 42.359016729633254, -71.13974738731663 42.35889268815592, -71.13969875590529 42.35899129723863, -71.14008952057729 42.35911667029302, -71.14007575068622 42.3591415534305, -71.14014794322873 42.35916776700891, -71.13987512850706 42.35967407859548, -71.14032769161288 42.35981136242638, -71.140196566388 42.3600667686203, -71.14039426785516 42.36013063206531, -71.14021816840918 42.360438901083164, -71.13959100500166 42.36025057638013, -71.13956508713643 42.36021387691454, -71.13971609398098 42.359889649218495, -71.13927647321037 42.35979128784307, -71.13919679786012 42.36007303729832, -71.13902824634502 42.36027929245238, -71.13887458089364 42.36040096448941, -71.1387404651139 42.360678840668, -71.13924947993037 42.360824484202666, -71.13988484728254 42.36099013210288, -71.13979544911321 42.36115748001201, -71.14010022610864 42.36126564740805, -71.1399127170245 42.36160080864328), (-71.14150272599517 42.36079814725054, -71.14147744117469 42.36084121374071, -71.1412240996851 42.36075472728766, -71.1413093954988 42.36061731979108, -71.14054747744422 42.360536966325604, -71.14076654906683 42.36011370694908, -71.14124310523871 42.36023323462221, -71.14117901113669 42.3603333391527, -71.14164972703591 42.36046039040341, -71.14156859674532 42.36064435412592, -71.14156360832968 42.3606559990844, -71.14207281592712 42.360693585578545, -71.14208347287442 42.36087402705958, -71.14212803963112 42.36092851691043, -71.14209554179158 42.36102784336756, -71.14193704052387 42.36100861416189, -71.14169405103794 42.36084373166317, -71.14150272599517 42.36079814725054), (-71.14212984266281 42.36036476249861, -71.14173539316585 42.36027665321482, -71.14190281206234 42.35996633911839, -71.14217990894848 42.359992040465464, -71.14241323202711 42.360009477266566, -71.14254525048811 42.35975443146111, -71.14272065092378 42.35975951302868, -71.14279336663226 42.3598234539554, -71.14278100250104 42.35998499171158, -71.14270446067727 42.36004952413211, -71.14273820685843 42.36026324435446, -71.14260002446896 42.36027603662606, -71.14259272279433 42.360354030027175, -71.1423620623024 42.360340569436204, -71.14231748252529 42.36038052144028, -71.142307798582 42.36069642060691, -71.14210113471827 42.36068469695511, -71.14212984266281 42.36036476249861), (-71.1428733756537 42.36080445968034, -71.14287964750261 42.36072777929058, -71.14356515110485 42.360750778053394, -71.1434620968332 42.36096139202068, -71.143485355755 42.361283158777894, -71.14333155629923 42.36127403017521, -71.14315488448418 42.361157227333294, -71.14296203064184 42.36110599672183, -71.14286049975698 42.36102009310256, -71.1428733756537 42.36080445968034), (-71.14099852618837 42.359619247755504, -71.14104131858744 42.35952467570727, -71.14150419550745 42.359602784273605, -71.1415254973112 42.35976081400056, -71.1414483472449 42.35980697695591, -71.14095723980888 42.35971815036347, -71.14099852618837 42.359619247755504), (-71.1409534465487 42.361017398188416, -71.14103079836768 42.36083781741111, -71.14140938187295 42.36095593027203, -71.1413299324153 42.36113845409155, -71.1409534465487 42.361017398188416), (-71.14473270422548 42.35883309989903, -71.14475714433536 42.35868225139761, -71.14493401959983 42.35869592108592, -71.14490178927994 42.35885519115574, -71.14473270422548 42.35883309989903)))"
GISDATA.LANDUSE2005_POLY.343405,High Density Residential,11,"MULTIPOLYGON (((-71.14118885835988 42.36133471123341, -71.14096288442306 42.36131240455689, -71.14085526940535 42.36124935643737, -71.14071707404004 42.36123021506781, -71.1406406578668 42.36126152144634, -71.14074453698903 42.36147320251104, -71.14081785295441 42.36154323877223, -71.14106613935127 42.361568402651386, -71.14118885835988 42.36133471123341)))"
GISDATA.LANDUSE2005_POLY.343526,Commercial,15,"MULTIPOLYGON (((-71.13228586693198 42.364325125080626, -71.13238397036967 42.364401602853995, -71.13266897182754 42.36422738894182, -71.13291299383361 42.36413787746569, -71.13333493491069 42.36411020175332, -71.13492194270113 42.36412814849182, -71.1349559839268 42.364630503375125, -71.13500859543392 42.36464469499124, -71.13502170088577 42.36476202938079, -71.1350989599592 42.364844671348685, -71.13535633621491 42.36477155705956, -71.13619984535657 42.36443844058511, -71.13668412128591 42.36430599264709, -71.13698417797568 42.36418875149317, -71.13762240737925 42.36402858127026, -71.13746212929236 42.36337021135084, -71.13772740278165 42.36336121249238, -71.13791587874907 42.36393934372971, -71.13933987313801 42.363611157819356, -71.14126930654724 42.36329275958623, -71.14359096220498 42.36300237002999, -71.14353457551118 42.362835953959966, -71.1435718887304 42.362827592511195, -71.14350075747346 42.36273614791843, -71.14338129653356 42.362360453003866, -71.14335638022753 42.36214233825841, -71.14324330833007 42.36204765924187, -71.14324165423218 42.361972018406625, -71.14420901003497 42.361785233869604, -71.1442749494989 42.361928006179824, -71.14435972871323 42.36195154435139, -71.14444461825268 42.36199844431413, -71.14451083829081 42.36215493229879, -71.14457771711753 42.36217608143765, -71.14465960324843 42.362132102527205, -71.14467414566663 42.362063061336706, -71.14457364051843 42.36170533556738, -71.145156976675 42.36159009965836, -71.14541184809423 42.361599888583605, -71.14551652536127 42.361595833173595, -71.14565886601676 42.361371621705025, -71.14585649197731 42.36136285843252, -71.14637864036476 42.36053410085189, -71.14642618991488 42.36038762558227, -71.14679307155183 42.35990259849539, -71.14696296471122 42.35991212299554, -71.14708294508999 42.3599942471013, -71.14712921522185 42.36018731675258, -71.14719246646672 42.3602631735315, -71.14729061121585 42.36029601359641, -71.14757396423991 42.36029670667732, -71.14829658284818 42.36021330336593, -71.14827250065635 42.36008745347993, -71.14830207754731 42.35959922703759, -71.14884425690181 42.35960909527111, -71.14893135092522 42.35958842771491, -71.14891151224424 42.35883821101655, -71.1489951346163 42.3587571767319, -71.14900912935597 42.358684993988795, -71.14930025569227 42.35872189356282, -71.14932029027634 42.359576645700315, -71.14914872409865 42.35959681910953, -71.14917088144254 42.36016195654375, -71.14928605461903 42.36015909199545, -71.14933316186388 42.360481369598524, -71.1510371606239 42.360321219543195, -71.15228931513681 42.36006277861965, -71.15231332186188 42.35996196787976, -71.15279110373491 42.35978449210208, -71.1533242428701 42.359533879953226, -71.15393608078696 42.359331778193535, -71.15478677878416 42.35916078405765, -71.15588506969051 42.35907340504115, -71.15731372325526 42.3591821139203, -71.15799377764392 42.359170128920546, -71.15903240735435 42.35921523912365, -71.16023354878647 42.359207073118824, -71.16063172852901 42.35906765748229, -71.16078021525722 42.35897948224084, -71.16093413513369 42.358959433931126, -71.16109497596722 42.3588724110594, -71.1612386293583 42.358861264722194, -71.16123763949838 42.3588164843023, -71.16144559622882 42.35865484359899, -71.16149725186403 42.358558829841705, -71.16170071186382 42.35837340159331, -71.16187783265254 42.358302796305324, -71.1620491273321 42.358275429649844, -71.16195483046259 42.35799984604803, -71.16201512269048 42.35775932285799, -71.15696259568435 42.35795889942013, -71.15578499284976 42.35808855292986, -71.15476522622352 42.358261277044306, -71.15281363447255 42.358353545783345, -71.15282693167326 42.35842203287162, -71.1526240058732 42.358632285101095, -71.15217375383703 42.3587873723321, -71.15166884485036 42.358874272063254, -71.15127477927814 42.358818660956665, -71.15082621090242 42.358667653474576, -71.1506938349563 42.358487403136415, -71.14873884869205 42.358610817978374, -71.14834082133099 42.358539086684665, -71.14578286426108 42.3586125306967, -71.14569363909843 42.3589604442627, -71.14622602845701 42.35899098237438, -71.14631353616143 42.35869484488958, -71.14651475257696 42.35872609576785, -71.14689957954252 42.35877995728308, -71.14685498668138 42.359018450219715, -71.14661848154564 42.35901349240793, -71.14643340032282 42.35900287636563, -71.14637341780445 42.35964882999759, -71.14638855409734 42.35956366626196, -71.14676610429912 42.35968897593228, -71.14696255212453 42.35937744995546, -71.14641008735067 42.35933803074291, -71.14641403074589 42.359297080748426, -71.14705794867349 42.35936018897591, -71.14709314592854 42.35938295358572, -71.14695782271814 42.35964086994283, -71.14679332288449 42.359857584967514, -71.14645420783023 42.359816021123784, -71.14635682917553 42.35976621500273, -71.14593866068259 42.35975657914624, -71.1459047553301 42.36004239209986, -71.14587913133992 42.36036999028869, -71.14430363965 42.360286638820945, -71.14427376368288 42.360779329649304, -71.14380634646882 42.36075238867911, -71.14383014108077 42.361283954251434, -71.14381660767373 42.361428494642816, -71.14374038222998 42.36158092901776, -71.14361683021872 42.36164624729264, -71.14342062597795 42.361664234555576, -71.14337534963217 42.361508152968376, -71.14306437885642 42.36160602617535, -71.14276424656704 42.361646468765365, -71.14286908232178 42.3620343214569, -71.14272393515573 42.36206498543633, -71.14258634559079 42.3620819478631, -71.14255227907448 42.36183997842197, -71.14243684344112 42.361752729415734, -71.14230183306515 42.36178640432313, -71.14224341134297 42.36172475019508, -71.14238367291698 42.36212808139911, -71.14172738619686 42.36224103688904, -71.14168146137227 42.362236532836626, -71.14149442304243 42.36167523306358, -71.14114975430194 42.36157326223143, -71.14122017228082 42.36144312052272, -71.14155985006447 42.36154742624063, -71.14163919961294 42.36139344013153, -71.14123539112497 42.36129033455567, -71.14118885835988 42.36133471123341, -71.14106613935127 42.361568402651386, -71.14093107585123 42.3618380668245, -71.14080830379373 42.36208076063959, -71.14087488152853 42.36208864258352, -71.14089479292498 42.36204988893206, -71.14098483151183 42.36207762874333, -71.14120379844938 42.36203986984413, -71.14128055752444 42.36224726503704, -71.1410441621941 42.36229127709193, -71.14107919814658 42.36235799587619, -71.14064849925276 42.36243137290483, -71.14078655574552 42.362162249608225, -71.14025409898086 42.3620176370917, -71.14024388378348 42.36214867235296, -71.14019595645792 42.362157340727215, -71.14031452679592 42.36250565585181, -71.1401016163001 42.36253769719244, -71.13990718225129 42.36257310003707, -71.1396648981183 42.36260179406799, -71.13958481435354 42.362243283407196, -71.1399127170245 42.36160080864328, -71.13960333572695 42.36151710421032, -71.13899870681041 42.36134163462515, -71.13896626571736 42.36130739394611, -71.13924947993037 42.360824484202666, -71.1387404651139 42.360678840668, -71.13710397828213 42.360277562649124, -71.13659476593385 42.3601679204032, -71.13627496274533 42.360896141371185, -71.13610263448155 42.36130972790857, -71.13605335302411 42.36143561203425, -71.13583521455257 42.36133855940884, -71.13557317962406 42.3612828506704, -71.13538868007393 42.36182967591095, -71.13583201439707 42.36189444085122, -71.13574174596798 42.36217583559409, -71.13547783982703 42.36273686434741, -71.13490321906205 42.362618682458574, -71.13476528755203 42.36270437848779, -71.13436088668504 42.36268616099027, -71.13415272840804 42.3626269624507, -71.13405411252491 42.36270170466364, -71.13379009306556 42.362658867770996, -71.13344974721021 42.36259433592653, -71.13316098114768 42.36254915989745, -71.13308657807629 42.36261317417757, -71.13303242885168 42.36270747023451, -71.13285265430386 42.362744015290296, -71.13281788982884 42.362798035808005, -71.13272050669772 42.362841833484076, -71.13241794321513 42.362770153926526, -71.13234587257332 42.36291057615581, -71.13198552966796 42.3628478513531, -71.13219119965017 42.362342238774154, -71.13253618041827 42.36242616422107, -71.13268572257148 42.36215725918971, -71.1325140854904 42.36210432865488, -71.13226605714706 42.36214147845241, -71.13218317529335 42.362299256858556, -71.13200515638806 42.36222631610218, -71.13112797597898 42.36201522040284, -71.13096509955231 42.36214845973485, -71.13085691902856 42.36244879376327, -71.13079395090271 42.36251188806589, -71.13033639032223 42.36246385642865, -71.13033651473036 42.36241722470344, -71.13004799516494 42.36239164447195, -71.12992998069888 42.36231635828755, -71.12956989797391 42.362312175044615, -71.12949312527648 42.36228794322464, -71.12929479847857 42.36230187258797, -71.1292948261212 42.36194521344529, -71.12894638049833 42.361923348114914, -71.1289700042937 42.36159895120092, -71.1290724812395 42.36158547405545, -71.12890261028535 42.36125668071966, -71.12880791569852 42.36128123114682, -71.12847866197471 42.361393387157555, -71.12849511438469 42.36145498568875, -71.12841111610449 42.3614223643349, -71.12811522115946 42.361445302453156, -71.12814267071833 42.36149278048854, -71.12837118795434 42.36144211275013, -71.12840663180565 42.361504617126684, -71.1263714006955 42.361668434172216, -71.12623013878837 42.361650912948555, -71.12620991722186 42.36161965320055, -71.12628238433638 42.36158986504078, -71.12614277275463 42.3614114498504, -71.12647607952307 42.36125257349596, -71.12641872943497 42.361183373951015, -71.12675555992348 42.361016820682664, -71.126484707006 42.360721524200265, -71.1261659936942 42.360894899428004, -71.12585989599965 42.36054698216233, -71.12579849589258 42.360599146685246, -71.12548120683073 42.360762000305776, -71.12502164509436 42.36101339792434, -71.12480201373434 42.36112937139747, -71.1248378969222 42.361219517125676, -71.12492086934787 42.361320383985095, -71.1249146284683 42.36164713977982, -71.12487389430626 42.36170515643972, -71.12473156652572 42.362340458292095, -71.12453768944023 42.3627130131844, -71.12471516532992 42.36275104613423, -71.12475412318193 42.36279553665882, -71.12477791963539 42.36323567336523, -71.12485382030663 42.36358839923832, -71.12608124022239 42.36351781017011, -71.12874060370608 42.36328024460159, -71.12969401171922 42.36322488782127, -71.12980207322104 42.3631758955115, -71.13117249862677 42.36308869784667, -71.13136038196761 42.36306736292751, -71.1315964201062 42.36310657494469, -71.13182338531747 42.36318208487324, -71.13264061127249 42.363338687430335, -71.13228586693198 42.364325125080626), (-71.13671631726493 42.364156579418754, -71.13660140693804 42.36359776922911, -71.13655210446242 42.36360040432956, -71.13646861607968 42.36308769692426, -71.13733421826252 42.362994999328215, -71.13746747860876 42.3636361536954, -71.13739665769872 42.36364421307134, -71.13744224961722 42.3638865336311, -71.13747832375611 42.36388322625474, -71.13748750163194 42.36393403128993, -71.13671631726493 42.364156579418754), (-71.13545907664502 42.3629835795447, -71.13578529191635 42.36222045123139, -71.1363696234865 42.36235806329599, -71.13623939943848 42.362647903684795, -71.13632232638321 42.36266662179445, -71.13619181934953 42.36296330248933, -71.13550997290896 42.36304135914623, -71.13545907664502 42.3629835795447), (-71.14523405264008 42.36083409736585, -71.1456526389388 42.36085145069673, -71.14552017113668 42.3611768154121, -71.14504944198697 42.361283670675384, -71.14447943519701 42.361290441197134, -71.14447607666443 42.36080935406249, -71.14486993342335 42.360823970750005, -71.14523405264008 42.36083409736585), (-71.1414359529692 42.36237396966451, -71.14170173031471 42.36232339162963, -71.14183298117136 42.36270525148281, -71.14156973577788 42.362758628597476, -71.1414359529692 42.36237396966451), (-71.1289595530417 42.36289563407792, -71.12915691451467 42.362879796269894, -71.12919473098128 42.36315909603164, -71.12900247142632 42.36317423103488, -71.1289595530417 42.36289563407792), (-71.1324758119448 42.363205278733396, -71.13254366461668 42.363039482799905, -71.13269749048689 42.36307841636377, -71.13264355295634 42.36323120268498, -71.1324758119448 42.363205278733396)))"
GISDATA.LANDUSE2005_POLY.345501,High Density Residential,11,"MULTIPOLYGON (((-71.14099852618837 42.359619247755504, -71.14095723980888 42.35971815036347, -71.1414483472449 42.35980697695591, -71.1415254973112 42.35976081400056, -71.14150419550745 42.359602784273605, -71.14104131858744 42.35952467570727, -71.14099852618837 42.359619247755504)))"
GISDATA.LANDUSE2005_POLY.345510,Urban Public/Institutional,31,"MULTIPOLYGON (((-71.14155985006447 42.36154742624063, -71.14122017228082 42.36144312052272, -71.14114975430194 42.36157326223143, -71.14149442304243 42.36167523306358, -71.14155985006447 42.36154742624063)))"
GISDATA.LANDUSE2005_POLY.345511,High Density Residential,11,"MULTIPOLYGON (((-71.14025409898086 42.3620176370917, -71.14078655574552 42.362162249608225, -71.14064849925276 42.36243137290483, -71.14107919814658 42.36235799587619, -71.1410441621941 42.36229127709193, -71.14099804346148 42.36211517048898, -71.14087488152853 42.36208864258352, -71.14080830379373 42.36208076063959, -71.14093107585123 42.3618380668245, -71.14077197374726 42.361795870554396, -71.14042750934826 42.361777631988424, -71.14037898494905 42.36179699846988, -71.14037216166454 42.361926349115606, -71.14025409898086 42.3620176370917)))"
