Parameter Name,Site_keys_x,Arithmetic Mean,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
NO2,[ 34.803421 -86.965007],0.00552381,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.13,0.145,0.0,0.0,0,0.5,0,0,0,0.225,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.685923 -87.070845],0.0072142859999999994,0.24,0.0,0.76,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.687761 -86.586362],0.023585703,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.0,0.62,0.0,0,0.13,0,0,0,0.0,0,0.0,36.17081747058825,58.58843,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.687761 -86.586362],0.023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.0,0.62,0.0,0,0.13,0,0,0,0.0,0,0.0,36.17081747058825,58.58843,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.619814 -86.997509],0.026961142999999996,0.0,0.0,0.22,0.0,0.0,0,0,0.0,0.2,0.17,0.0,0.0,0,0.0,0,0,0,0.36,0,0.05,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.619814 -86.997509],0.018833333,0.0,0.0,0.22,0.0,0.0,0,0,0.0,0.2,0.17,0.0,0.0,0,0.0,0,0,0,0.36,0,0.05,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.605925 -86.981952],0.017811321,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.865384615385,0.0,0.0,0,0.0,0,0,0,0.125,0,0.00961538461538,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[ 34.433428 -86.940007],0.004745455,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.04,0.0,0.0,0,0.14,0,0,0,0.79,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.4225 -109.15  ],0.003522222,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  31.894444 -110.246389],0.005245652,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.080539 -112.155726],0.005608333,0.07,0.93,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.45793 -112.04601],0.007567256,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.163793103448,0.0,0.0,0,0.0,0,0,0,0.8362068965520001,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  32.222058 -110.974681],0.036193767,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9607843137250001,0.0,0.0,0,0.0,0,0,0,0.0392156862745,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  32.204411 -110.878067],0.020781533999999997,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.194915254237,0.0,0.0,0,0.0,0,0,0,0.8050847457629999,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  32.204411 -110.878067],0.02430441,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.194915254237,0.0,0.0,0,0.0,0,0,0,0.8050847457629999,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.535833 -121.961823],0.023817854,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.62,0.0,0.0,0,0.03,0,0,0,0.35,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.682708 -121.770231],0.022103092999999997,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.77,0.0,0.0,0,0.0,0,0,0,0.23,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.682708 -121.770231],0.025117715,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.77,0.0,0.0,0,0.0,0,0,0,0.23,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.800484 -122.266358],0.04776435,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  39.757371 -121.843286],0.015028506,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.37037037037,0.101851851852,0.0,0,0.0,0,0,0,0.5277777777780001,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.886869 -122.027462],0.032390892000000004,0.03,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.97,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.936013 -122.026154],0.025624913,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,0.0,0.0,0,0.0,0,0,0,0.4,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.949924 -122.357193],0.023310834,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.019607843137299998,0.0,0.0,0,0.0,0,0,0,0.617647058824,0,0.362745098039,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.029258 -121.896866],0.017542395,0.0,0.0,0.0,0.12,0.0,0,0,0.0,0.25,0.0,0.0,0.0,0,0.0,0,0,0,0.17,0,0.46,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.029258 -121.896866],0.017240717,0.0,0.0,0.0,0.12,0.0,0,0,0.0,0.25,0.0,0.0,0.0,0,0.0,0,0,0,0.17,0,0.46,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.916575 -120.001015],0.015353065,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75,0.0,0.0,0,0.0,0,0,0,0.25,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.725228 -119.751254],0.034361929,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.46,0.0,0.0,0,0.19,0,0,0,0.23,0,0.12,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.738005 -119.791256],0.031140645,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.973333333333,0.0,0.0,0,0.0,0,0,0,0.013333333333299998,0,0.013333333333299998,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.145789 -120.359316],0.019300595,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.78125,0.0,0.0,0,0.0,0,0,0,0.21875,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.341062 -120.105699],0.009794858,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.854700854701,0,0,0,0.14529914529899998,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  35.374959 -119.022602],0.036234411,0.0,0.04,0.0,0.0,0.0,0,0,0.0,0.0,0.96,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  35.434679 -119.013434],0.040065738999999996,0.0,0.0,0.0,0.0,0.0,0,0,0.11214953271,0.0,0.0654205607477,0.0,0.0,0,0.0,0,0,0,0.719626168224,0,0.10280373831800001,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.956287 -122.647485],0.007775688,0.0,0.0,0.26,0.0,0.0,0,0,0.0,0.18,0.36,0.0,0.0,0,0.0,0,0,0,0.2,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.92899 -118.21071],0.049881529,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.57,0.0,0.0,0,0.0,0,0,0,0.43,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.923625 -118.02562 ],0.05111094,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0512820512821,0.14529914529899998,0.0,0.0,0,0.0,0,0,0,0.8034188034190001,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.82376 -118.18921],0.049359907,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.23,0.06,0.0,0,0.0,0,0,0,0.44,0,0.27,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.930292 -118.369798],0.086173826,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.03,0.14,0.0,0,0.0,0,0,0,0.74,0,0.09,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.1365  -117.92391],0.037067733,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.39,0,0.0,0,0,0,0.0,0,0.61,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.14435 -117.85036],0.040608228999999996,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.115044247788,0.0,0.0,0,0.0,0,0,0,0.8849557522120001,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.06703 -117.7514 ],0.050165322000000005,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.41,0.0,0.0,0,0.0,0,0,0,0.59,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.17605 -118.31712],0.070722069,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.18,0.5,0.0,0,0.0,0,0,0,0.13,0,0.19,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.149451 -118.124515],0.05561086,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.65811965812,0.0598290598291,0.0,0,0.0,0,0,0,0.282051282051,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.149451 -118.124515],0.05846708,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.65811965812,0.0598290598291,0.0,0,0.0,0,0,0,0.282051282051,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.06659 -118.22688],0.060798011,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0157894736842,0.526315789474,0.0,0,0.0,0,0,0,0.0,0,0.45789473684199994,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.058345 -118.250907],0.058014138,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.043010752688199996,0.36917562723999997,0.5376344086020001,0.0,0,0.0,0,0,0,0.041218637992800004,0,0.0089605734767,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.051399 -118.3848  ],0.066436374,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.135,0.5,0.0,0,0.0,0,0,0,0.365,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.19925 -118.53276],0.049674424,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.415204678363,0.0,0.0,0,0.0,0,0,0,0.584795321637,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.386109 -118.532586],0.017924377,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.26,0.0,0.0,0,0.14,0,0,0,0.6,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.01407 -118.06056],0.059301275,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.38,0.12,0.07,0.0,0,0.0,0,0,0,0.43,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.712206 -118.140073],0.012281871000000001,0.0,0.66,0.0,0.0,0.0,0,0,0.0,0.05,0.03,0.0,0.0,0,0.0,0,0,0,0.26,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  37.97231  -122.520004],0.025781903,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.76,0.0,0.0,0,0.0,0,0,0,0.24,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.596071 -121.901621],0.011137995,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.33,0.0,0.0,0,0.0,0,0,0,0.67,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.697181 -121.633556],0.015675456,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.327160493827,0.0,0.0,0,0.617283950617,0,0,0,0.0555555555556,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.310942 -122.296189],0.021326567999999997,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0.0,0,0.0,0,0,0,0.8,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.821353 -117.91427 ],0.037868288,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0932203389831,0.186440677966,0.05932203389830001,0.0,0,0.0,0,0,0,0.661016949153,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.821353 -117.91427 ],0.054701797,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0932203389831,0.186440677966,0.05932203389830001,0.0,0,0.0,0,0,0,0.661016949153,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.656131 -117.930613],0.026226956000000003,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.056603773584900006,0.216981132075,0.0,0.0,0,0.0,0,0,0,0.72641509434,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.92513 -117.95264],0.05146971,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0789473684211,0.052631578947400004,0.0,0.0,0,0.0,0,0,0,0.868421052632,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.85275 -116.54101],0.018852183999999998,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0.01,0.03,0.0,0.0,0,0.0,0,0,0,0.43,0,0.03,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.958348 -117.375878],0.042986465,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.37,0.0,0.09,0.0,0,0.0,0,0,0,0.54,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.94603 -117.40063],0.050329202999999996,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.46,0.01,0.0,0,0.0,0,0,0,0.53,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  33.99958 -117.41601],0.03415488,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.304347826087,0.0,0.0,0,0.0434782608696,0,0,0,0.652173913043,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.667126 -121.251338],0.023008152999999996,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.28,0.17,0.0,0,0.13,0,0,0,0.39,0,0.03,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.71209 -121.38109],0.027432322000000002,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.218181818182,0.0424242424242,0.0,0.0,0,0.606060606061,0,0,0,0.133333333333,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.585183 -121.494677],0.027772471,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.65,0.0,0.0,0,0.0,0,0,0,0.07,0,0.28,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.674904 -121.186892],0.025402432000000003,0.1,0.0,0.31,0.0,0.0,0,0,0.0,0.0,0.37,0.0,0.16,0,0.03,0,0,0,0.0,0,0.03,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  38.674904 -121.186892],0.025402432000000003,0.1,0.0,0.31,0.0,0.0,0,0,0.0,0.0,0.37,0.0,0.16,0,0.03,0,0,0,0.0,0,0.03,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.85551 -121.39299],0.009534606,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.56,0,0,0,0.44,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  36.844096 -121.362121],0.016630575,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.895007 -117.024484],0.026154552,0.0,0.11,0.0,0.0,0.0,0,0,0.0,0.04,0.31,0.0,0.0,0,0.0,0,0,0,0.54,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.10374 -117.62914],0.048705317000000005,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19811320754700001,0.056603773584900006,0.0,0.0,0,0.0,0,0,0,0.7452830188680001,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.106122 -117.481994],0.038968026,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.109243697479,0.109243697479,0.0,0.0,0,0.176470588235,0,0,0,0.605042016807,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.523329 -117.30449 ],0.017201708,0.0,0.05,0.0,0.0,0.0,0,0,0.0,0.0,0.28,0.0,0.0,0,0.0,0,0,0,0.67,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  34.102234 -117.286709],0.050183317000000005,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.39,0.0,0.0,0,0.0,0,0,0,0.3,0,0.21,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
NO2,[  32.79394  -116.961138],0.036107784,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.47,0.0,0.0,0,0.0,0,0,0,0.52,0,0.01,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
